DescricaoObraServico,CodigoObraServico,NumeroContrato,NomeOrgao,CidadeSedeOrgao,TipoSituacaoObra,AndamentoObraServico,NomeCredor,TipoIntervencao,TipoSetorBeneficiario,TipoRegimeExecução,TipoObraServico,TipoAcaoEngenharia,TipoCategoriaObraServico,Latitude,Longitude,CidadeObra,Populacao,CodigoIBGE,DataColeta,ValorOriginalContrato,AnoInicioObra,ValorMedicoes,ValorReajustes,ValorAditado,ValorTotalContrato,DiasAditados,DiasParalisados,DiasOriginaisContrato,ValorSuprimido
MANUTENÇÃO CORRETIVA E PREVENTIVA DOS PRÉDIOS ZONAS SUL E LESTE.,1275.002.2021,,SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,,MANUTENÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,ESCOLA,OBRA,EDUCAÇÃO E CULTURA,-5.78415,-35.19212,NATAL,803739,2408102,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
MANUTENÇÃO CORRETIVA E PREVENTIVA DOS PRÉDIOS ZONAS SUL E LESTE.,1275.002.2021,,SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,,MANUTENÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,ESCOLA,OBRA,EDUCAÇÃO E CULTURA,-5.78453,-35.19195,NATAL,803739,2408102,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO EM PARALELEPÍPEDOS E DRENAGEM DAS RUAS CICERO MAIA DE LIMA E RUA 21 DE ABRIL TRECHO 01,463.001.2021,,PREFEITURA MUNICIPAL DE SÃO FRANCISCO DO OESTE,SÃO FRANCISCO DO OESTE,CADASTRADA,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.00329,-38.16982,SÃO FRANCISCO DO OESTE,3874,2411908,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONSTRUÇÃO DE MELHORIAS SANITÁRIAS DOMICILIARES (CONVÊNIO FUNASA N° 0494/2017 E CONTRAPARTIDA DA PREFEITURA MUNICIPAL DE MARCELINO VIEIRA-RN),421.003.2021,,PREFEITURA MUNICIPAL DE MARCELINO VIEIRA,MARCELINO VIEIRA,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,RECURSOS HÍDRICOS E SANEAMENTO,EXECUÇÃO INDIRETA,MÓDULO SANITÁRIO,OBRA,SANEAMENTO BÁSICO,-6.38083,-38.22857,MARCELINO VIEIRA,8265,2407302,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONSTRUÇÃO DE MELHORIAS SANITÁRIAS DOMICILIARES (CONVÊNIO FUNASA N° 0494/2017 E CONTRAPARTIDA DA PREFEITURA MUNICIPAL DE MARCELINO VIEIRA-RN),421.003.2021,,PREFEITURA MUNICIPAL DE MARCELINO VIEIRA,MARCELINO VIEIRA,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,RECURSOS HÍDRICOS E SANEAMENTO,EXECUÇÃO INDIRETA,MÓDULO SANITÁRIO,OBRA,SANEAMENTO BÁSICO,-6.37057,-38.22081,MARCELINO VIEIRA,8265,2407302,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONSTRUÇÃO DE MELHORIAS SANITÁRIAS DOMICILIARES (CONVÊNIO FUNASA N° 0494/2017 E CONTRAPARTIDA DA PREFEITURA MUNICIPAL DE MARCELINO VIEIRA-RN),421.003.2021,,PREFEITURA MUNICIPAL DE MARCELINO VIEIRA,MARCELINO VIEIRA,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,RECURSOS HÍDRICOS E SANEAMENTO,EXECUÇÃO INDIRETA,MÓDULO SANITÁRIO,OBRA,SANEAMENTO BÁSICO,-6.36477,-38.21188,MARCELINO VIEIRA,8265,2407302,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
MANUTENÇÃO CORRETIVA E PREVENTIVA DOS PRÉDIOS ZONAS NORTE E OESTE.,1275.001.2021,,SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,,MANUTENÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,ESCOLA,OBRA,EDUCAÇÃO E CULTURA,-5.78415,-35.19215,NATAL,803739,2408102,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
MANUTENÇÃO CORRETIVA E PREVENTIVA DOS PRÉDIOS ZONAS NORTE E OESTE.,1275.001.2021,,SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,,MANUTENÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,ESCOLA,OBRA,EDUCAÇÃO E CULTURA,-5.78455,-35.19195,NATAL,803739,2408102,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO POLIÉDRICA EM PARALELEPÍPEDOS NA RUA JOAQUIM MENEZ,363.001.2021,,PREFEITURA MUNICIPAL DE CORONEL JOÃO PESSOA,CORONEL JOÃO PESSOA,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA NÃO PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.26305,-38.44321,CORONEL JOÃO PESSOA,4772,2402907,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO POLIÉDRICA EM PARALELEPÍPEDOS NA RUA JOAQUIM MENEZ,363.001.2021,,PREFEITURA MUNICIPAL DE CORONEL JOÃO PESSOA,CORONEL JOÃO PESSOA,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA NÃO PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.26305,-38.44321,CORONEL JOÃO PESSOA,4772,2402907,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
MANUTENÇÃO DE QUADRA DE ESPORTE DO CENTRO,424.001.2021,,PREFEITURA MUNICIPAL DE NÍSIA FLORESTA,NÍSIA FLORESTA,CADASTRADA,NÃO REGISTRADO,,MANUTENÇÃO,ESPORTE,EXECUÇÃO DIRETA,QUADRA DE ESPORTE,OBRA,ESPORTE E LAZER,-6.09197,-35.21095,NÍSIA FLORESTA,23784,2408201,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"SERVIÇO EM RETELHAMENTO, DEMOLIÇÃO E SUBSTITUIÇÃO DE RUFO DE PARTE DO TELHADO DO CMEI MARIA PALMIRA MIRANDA GALVÃO GONDIM, CONFORME ESPECIFICAÇÕES.",424.002.2021,,PREFEITURA MUNICIPAL DE NÍSIA FLORESTA,NÍSIA FLORESTA,CADASTRADA,NÃO REGISTRADO,,MANUTENÇÃO,EDUCAÇÃO,EXECUÇÃO DIRETA,ESCOLA,OBRA,EDUCAÇÃO E CULTURA,-6.07434,-35.19618,NÍSIA FLORESTA,23784,2408201,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE CONFECÇÃO E INSTALAÇÃO DE PORTÕES E MOTORES NO ÂMBITO DA CÂMARA MUNICIPAL DO NATAL.,105.001.2021,,CÂMARA MUNICIPAL DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,,RECUPERAÇÃO,PODER LEGISLATIVO,EXECUÇÃO DIRETA,REPARAÇÃO,SERVIÇO DE ENGENHARIA,SERVIÇOS DE ENGENHARIA,-5.7902,-35.2004,NATAL,803739,2408102,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
EXECUÇÃO DE REFORMA DOS CANTEIROS DA RUA FRANCISCO JANUÁRIO NO MUNICÍPIO DE LAGOA DE PEDRAS/RN,406.001.2021,,PREFEITURA MUNICIPAL DE LAGOA DE PEDRAS,LAGOA DE PEDRAS,CADASTRADA,NÃO REGISTRADO,,REFORMA,URBANIZAÇÃO E HABITAÇÃO,EXECUÇÃO DIRETA,PRAÇA,OBRA,ESPORTE E LAZER,-6.15096,-35.43903,LAGOA DE PEDRAS,6989,2406304,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
EXECUÇÃO DE REFORMA DOS CANTEIROS DA RUA FRANCISCO JANUÁRIO NO MUNICÍPIO DE LAGOA DE PEDRAS/RN,406.001.2021,,PREFEITURA MUNICIPAL DE LAGOA DE PEDRAS,LAGOA DE PEDRAS,CADASTRADA,NÃO REGISTRADO,,REFORMA,URBANIZAÇÃO E HABITAÇÃO,EXECUÇÃO DIRETA,PRAÇA,OBRA,ESPORTE E LAZER,-6.15076,-35.43929,LAGOA DE PEDRAS,6989,2406304,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA DO RAMO PERTINENTE PARA EXECUÇÃO DAS OBRAS DAS OBRAS DE MELHORIAS SANITÁRIAS DOMICILIARES EM 47 RESIDENCIAIS NO MUNICÍPIO DE LAGOA DE SALGADA/RN,,,PREFEITURA MUNICIPAL DE LAGOA SALGADA,LAGOA SALGADA,PENDENTE DE ENVIO,NÃO REGISTRADO,,CONSTRUÇÃO,RECURSOS HÍDRICOS E SANEAMENTO,EXECUÇÃO INDIRETA,SISTEMA DE ESGOTAMENTO SANITÁRIO,OBRA,SANEAMENTO BÁSICO,-6.12203,-35.48606,LAGOA SALGADA,7564,2406601,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA DO RAMO PERTINENTE PARA EXECUÇÃO DAS OBRAS DAS OBRAS DE MELHORIAS SANITÁRIAS DOMICILIARES EM 47 RESIDENCIAIS NO MUNICÍPIO DE LAGOA DE SALGADA/RN,,,PREFEITURA MUNICIPAL DE LAGOA SALGADA,LAGOA SALGADA,PENDENTE DE ENVIO,NÃO REGISTRADO,,CONSTRUÇÃO,RECURSOS HÍDRICOS E SANEAMENTO,EXECUÇÃO INDIRETA,SISTEMA DE ESGOTAMENTO SANITÁRIO,OBRA,SANEAMENTO BÁSICO,-6.12151,-35.4863,LAGOA SALGADA,7564,2406601,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
